item,price,store,date,source_image
"SNACK PACK PUDDING OR JUICY GELS CUPS, 4X99 G",1.44,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298717/1756827375/extra_large.jpg
"BECEL PLANT BASED BRICK 427/454 G, MARGARINE 427/454 G OR I CAN'T BELIEVE IT'S NOT BUTTER 850 G",3.96,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298736/1756827374/extra_large.jpg
"HELLMANN'S REAL MAYONNAISE, 1.42 L",8.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298743/1756827379/extra_large.jpg
"PAM COOKING OIL SPRAY, 141/170 G",4.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298744/1756827380/extra_large.jpg
"NO NAME® BLEACH, 2.4 L",3.49,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340247/1756849519/extra_large.jpg
JAMIESON VITAMINS OR SUPPLEMENTS,3.64,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340253/1756849520/extra_large.jpg
"YOPLAIT SOURCE OR CREAMY YOGURT, 16X100 G",6.49,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298733/1756827372/extra_large.jpg
BROCCOLI CROWNS,2.49,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298852/1756849559/extra_large.jpg
"OLYMPIC ORGANIC YOGOURT, 1.75 KG",10.49,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298687/1756827373/extra_large.jpg
"YOPLAIT YOP DRINKABLE YOGURT, 12X200 ML",10,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298734/1756827373/extra_large.jpg
"GLAD WHITE INDOOR 30-52' S, RECYCLED PLASTIC 28-44' S OR COMPOSTABLE 10-20' S BAGS",6.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340242/1756849208/extra_large.jpg
"NUTELLA HAZELNUT SPREAD WITH COCOA, 2X725 G",13.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298696/1756827370/extra_large.jpg
"CLOROX BLEACH, 2.4 L",5,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340235/1756849206/extra_large.jpg
"MELONA ICE BARS, 560 ML",4.88,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298800/1756827370/extra_large.jpg
"SILK UNSWEETENED ORIGINAL ALMOND BEVERAGE, 6X946 ML",13,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298686/1756827372/extra_large.jpg
"OCEAN'S WHITE TUNA, 170 G OR GOLD SEAL PINK, 213 G OR SKINLESS BONELESS SALMON, 120 G",2.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298746/1756827381/extra_large.jpg
"HEIWA UDON NOODLES, 1.25 KG",4.88,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298838/1756827374/extra_large.jpg
"SMUCKER'S FRUIT JAM, JELLY OR MARMALADE, 310/500 ML OR ADAMS PEANUT BUTTER, 500 G",5.49,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298726/1756827381/extra_large.jpg
ALWAYS DISCREET UNDERWEAR OR PADS,19,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298972/1756827371/extra_large.jpg
"MAXWELL HOUSE GROUND, 631-900 G OR COFFEE PODS 30' S",17.97,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340244/1756849519/extra_large.jpg
"SCHNEIDERS OR MITCHELLS PEPPERETTES, 300-450 G",7,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340230/1756849517/extra_large.jpg
"WHOLE GOLDEN POMPANO, MILKFISH OR WILD PINK SALMON",3.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298797/1756827369/extra_large.jpg
"PC® ZIPPERBACK® OR PEELED PACIFIC WHITE SHRIMP, 400 G",8,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340234/1756849517/extra_large.jpg
"ROYALE TIGER TOWEL PAPER TOWELS, 3 = 6 ROLLS",7.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340256/1756849211/extra_large.jpg
"DAN-D PAK CASHEWS, 500 G",7.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298803/1756827373/extra_large.jpg
"SUFRA® HALAL CHICKEN BREASTS, 3'S, UP TO 645 G",14,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298829/1756827369/extra_large.jpg
"SEAQUEST® COD, SOLE, TILAPIA, BASA, HADDOCK, POLLOCK OR HIGHLINER WILD SALMON, 400 G",7,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298671/1756827378/extra_large.jpg
"MAYBELLINE SUPERSTAY POWDER, INSTANT AGE REWIND CONCEALER, FOUNDATION OR FIREWORKS MASCARA",15,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298987/1756827377/extra_large.jpg
PAPAYA,1.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298827/1756827367/extra_large.jpg
"PC® HOT PEPPERS, 75-226 G",4,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298630/1756827369/extra_large.jpg
"NO NAME® COOKED HAM, 175 G, NO NAME® SPONGES, 2/4' S OR PC® PASTA OR COUSCOUS, 340/454 G",2,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298620/1756827367/extra_large.jpg
"PC® FROZEN VEGETABLES, 400-750 G",3,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298738/1756827376/extra_large.jpg
GARNIER FRUCTIS HAIR CARE,3.5,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298931/1756827370/extra_large.jpg
JUMBO CARROT,1.5,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298828/1756827368/extra_large.jpg
"WHOLE BLUE COD, BASA OR CHUB MACKEREL",3,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298830/1756827369/extra_large.jpg
"NO NAME® SOUR CREAM, 500 ML",2.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298735/1756827374/extra_large.jpg
"DARE BEAR PAWS, 168-240 G OR ULTIMATE COOKIES, 290/300 G",2.28,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298714/1756827372/extra_large.jpg
"ANGEL KREMDENSADA SWEETENED THICK CREAMER, 405 ML OR ALL PURPOSE CREAM, 370 ML",2.49,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298818/1756827369/extra_large.jpg
"PINE-SOL MULTI-PURPOSE CLEANER, 1.41 L",4,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340213/1756849202/extra_large.jpg
FRIDABABY OR FRIDAMOM ACCESSORIES,3.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298963/1756827373/extra_large.jpg
"TWININGS HERBAL TEA, 20' S",3.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298720/1756827377/extra_large.jpg
"CHEF BOYARDEE PASTA IN TOMATO & MEAT SAUCE, 8X425 G",13.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298706/1756827378/extra_large.jpg
"PC® OLD FASHIONED BACON, 1 KG",13.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298663/1756827373/extra_large.jpg
"NO NAME® WHITE VINEGAR, 4 L",2.29,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298703/1756827375/extra_large.jpg
"PC® ORGANICS QUICK ROLLED OATS, 1 KG",5,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298685/1756827372/extra_large.jpg
"MILK 2GO MILK, 6X200 ML",5,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340252/1756849208/extra_large.jpg
PANTENE HAIR CARE,5,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298932/1756827371/extra_large.jpg
AIR WICK SCENTED OIL KIT OR ESSENTIAL MIST REFILLS,4.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340251/1756849210/extra_large.jpg
GOLD BOND HAND CREAM OR BODY LOTION,5.59,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298935/1756827373/extra_large.jpg
"CLOROX DISINFECTING WIPES, 75' S",4.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340217/1756849203/extra_large.jpg
"NATREL COFFEE CREAMER, 1 L",4.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298739/1756827376/extra_large.jpg
"PHILADELPHIA CREAM CHEESE PRODUCT, 227/250 G",3.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340246/1756849207/extra_large.jpg
"LIBERTÉ GREEK, 650/750 G OR MÉDITERRANÉE, 900 G YOGURT",6.47,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340240/1756849518/extra_large.jpg
"FARMER'S MARKET™ GRAPE TOMATOES, 907 G",5.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298632/1756827367/extra_large.jpg
"SURAJ® NAAN, 5' S",2.5,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298832/1756827371/extra_large.jpg
3 PACK CHICKEN EMPANADAS WITH CHIPOTLE SAUCE,6,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298835/1756827373/extra_large.jpg
"FEBREZE AIR 250 G, MR. CLEAN ALL-PURPOSE CLEANER 1.21 L OR MAGIC ERASER EXTRA DURABLE PADS 2' S",7,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340210/1756849201/extra_large.jpg
"PC® CHEESE SLICES, 140-180 G",6,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298773/1756827369/extra_large.jpg
"MAYNARDS CANDY, 814/816 G",9,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298699/1756827372/extra_large.jpg
"BREADED CHICKEN, MEATBALLS, POTSTICKERS OR HORS D'OEUVRES, 700 G - 1.81 KG",10,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298812/1756849540/extra_large.jpg
"PC® SMOKED SALMON, 125/150 G",11,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298672/1756827379/extra_large.jpg
AVEENO® SELECTED HAIR CARE PRODUCTS,9,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298786/1756827376/extra_large.jpg
"L' ORÉAL PREFERENCE, FERIA OR GARNIER OLIA HAIR COLOUR",12,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298983/1756827374/extra_large.jpg
"HEAD & SHOULDERS BARE OR CLINICAL HAIR CARE, 400 ML",12,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298933/1756827371/extra_large.jpg
"GOGO SQUEEZ FRUIT SAUCE POUCHES, 20X90 G",13.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298697/1756827371/extra_large.jpg
"BEEMAID CLASSIC CREAMED OR LIQUID WHITE HONEY, 1 KG",12.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298728/1756827383/extra_large.jpg
"PC® ORGANICS SWEET PEPPERS, 2' S",4.5,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298629/1756827368/extra_large.jpg
"PC® SHRIMP HORS D'OEUVRES, 294-454 G",11,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298674/1756827380/extra_large.jpg
"BATISTE DRY SHAMPOO, 200 ML",9,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298930/1756827369/extra_large.jpg
"GARNIER MICELLAR WATER, 400 ML OR SKIN ACTIVE OR NATURAL MOISTURIZERS",10,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298981/1756827372/extra_large.jpg
LEGO FORTNITE,16.79,Superstore,2025-09-06,https://f.wishabi.net/page_items/389303085/1756827376/extra_large.jpg
"LYSOL DISINFECTING WIPES, 2X110'S",14.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340239/1756849207/extra_large.jpg
"HERSHEY'S, 120'S, ASSORTED SNACK SIZE CANDY, 1.02 KG",19,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298719/1756827376/extra_large.jpg
"PC® BLUE MENU® 100% WHOLE GRAIN STEEL CUT OATS OR SUPERGRAINS OATMEAL 304-840 G NO NAME® STUFFED CHICKEN FROZEN, 284 G OR SCHNEIDERS REGULAR WIENERS OR MAPLE LEAF TOP DOGS 375 G",4,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298622/1756827368/extra_large.jpg
"COLGATE PREMIUM ADULT OR KIDS TOOTHPASTE, 70-150 ML OR COLGATE MANUAL TOOTHBRUSH EA",3,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298940/1756827376/extra_large.jpg
"SILVER SWAN SOY SAUCE, 1 L",2.49,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298822/1756827371/extra_large.jpg
"PC® KETTLE COOKED OR WORLD OF FLAVOURS POTATO CHIPS, 200 G",2.5,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340237/1756849205/extra_large.jpg
"GARLIC OR JALAPENO BREAD, 500 G OR CHEESE STICKS, 5'S",3,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298656/1756827373/extra_large.jpg
LEGO SUPER MARIO,15,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298861/1756827374/extra_large.jpg
"LIVE CLEAN, 750 ML, HONEST, 250-296 ML OR AVEENO, 532 ML BABY NEEDS",11.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298964/1756827374/extra_large.jpg
"LA COSTEÑA SALSA, 453 G OR LA COSTEÑA JAR SAUCES, 455 ML",3.5,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298840/1756827376/extra_large.jpg
"PEPSI SOFT DRINKS, 6X222 ML",3.47,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340224/1756849203/extra_large.jpg
"PRAN PARATHAS FAMILY PACK, 30' S, 2400 G",8.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298807/1756827376/extra_large.jpg
"PC® NAAN DIPPERS, 200 G",4.5,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298777/1756827371/extra_large.jpg
"NO NAME® NATURALLY IMPERFECT™ LIMES, 1.5 LB",4,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298637/1756827371/extra_large.jpg
"VEET, NAIR OR PARISSA HAIR REMOVAL PRODUCTS, 100-400 ML, 12-40' S, 57/312 G",5.62,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298938/1756827375/extra_large.jpg
"MINI CROISSANTS, 423 G",6,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298659/1756827375/extra_large.jpg
"LOU'S ENTRÉES PULLED PORK, 400G",9,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298781/1756827373/extra_large.jpg
"PALMER'S BODY OIL, 125-250 ML OR BUTTER LOTION, 250 ML",6,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298936/1756827373/extra_large.jpg
"REVLON COLORSTAY LIQUID, MATTE, CRAYON LIPSTICK OR LIP LINER",12,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298989/1756827378/extra_large.jpg
"U BY KOTEX LINERS 80-129'S, PADS 24-44'S OR TAMPONS 30/32'S",9,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298973/1756827372/extra_large.jpg
"COLGATE MULTIPACK TOOTHPASTE, 3X120/150 ML OR PREMIUM, 2'S, TOOTHBRUSH, 1'S",7.5,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298689/1756827375/extra_large.jpg
"VAN HOUTTE® GROUND COFFEE, 340 g",12.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298770/1756827367/extra_large.jpg
"CADBURY MINI BARS OR CANDY, 324/342 G",9,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298698/1756827372/extra_large.jpg
LEGO SUPER HEROES,16,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340200/1756849208/extra_large.jpg
"PAN PRE COOKED WHITE CORN MEAL, 2.26 KG OR MASECA INSTANT CORN MASA GLUTEN FREE FLOUR, 1.8 KG",7.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298837/1756827374/extra_large.jpg
"NEUTROGENA OIL-FREE SCRUB, CLEANSER OR FACE WASH, 125/177 ML",10,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298982/1756827373/extra_large.jpg
PAMPERS EASYUP CLUB PACK 46-74' S OR NINJAMAS NIGHTTIME UNDERWEAR 34/44' S,26.97,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298979/1756827377/extra_large.jpg
"PC BLUE MENU 100% WHOLE GRAIN STEEL CUT OATS OR SUPERGRAINS OATMEAL 304-840 G NO NAME STUFFED CHICKEN FROZEN, 284 G OR SCHNEIDERS REGULAR WIENERS OR MAPLE LEAF TOP DOGS, 375 G",4,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298624/1756827369/extra_large.jpg
"PC® FREE FROM® LEAN GROUND LAMB, 454 G",13.5,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298831/1756827370/extra_large.jpg
"DARE BRETON OR VINTA CRACKERS, 132-225 G, VEGGIE CRISPS, 100 G, GRISSOL MELBA OR CANAPÉ TOAST, 150-200 G OR BAGUETTES, 120/130 G",2.49,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298715/1756827373/extra_large.jpg
"RIO MARE LIGHT TUNA SALAD OR TUNA IN OLIVE OIL, 160 G",3.75,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298747/1756827382/extra_large.jpg
LEGO MINECRAFT,9.9,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298858/1756827373/extra_large.jpg
"CREST SCOPE OUTLAST OR PROHEALTH ADVANCED RINSE, 1 L, CREST PRO HEALTH GUM DETOXIFY TOOTHPASTE, 110 ML, ORAL-B FLOSS TWIN PACK OR ORAL-B BATTERY TOOTHBRUSH",7,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298616/1756827376/extra_large.jpg
HEAD & SHOULDERS HAIR CARE,7.5,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298617/1756827377/extra_large.jpg
"METHOD ALL-PURPOSE CLEANERS OR LIQUID DISH SOAP, 532/828 ML",4.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340227/1756849204/extra_large.jpg
"CRAVE OR KRAFT DINNER ENTRÉES, 200-340 G",3.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340249/1756849207/extra_large.jpg
"ORVILLE REDENBACHER MICROWAVE POPCORN, 1.47 KG",11.49,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298693/1756827368/extra_large.jpg
"PC® M'AQUA COCKTAIL FLAVOURED SPARKLING WATER 6X355 ML, ANCHOR'S BAY COOKED MUSSEL, CLAM MEAT OR SEAQUEST® SEAFOOD MEDLEY FROZEN, 340 G OR DORÉ-MI HALOUMI CHEESE, 160 G",5,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298625/1756827369/extra_large.jpg
MARVEL SPIDERMAN SHEET SET,40,Superstore,2025-09-06,https://f.wishabi.net/page_items/389340225/1756849214/extra_large.jpg
PC® 12 PIECE DINNERWARE SET,45,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298885/1756827373/extra_large.jpg
"GOOD START PLUS POWDER BABY FORMULA, 942-1020 G",56.99,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298956/1756827368/extra_large.jpg
"ENFAMIL A + NEUROPRO AND GENTLEASE POWDER REFILLS, 862/890 G",65.47,Superstore,2025-09-06,https://f.wishabi.net/page_items/389298976/1756827374/extra_large.jpg
